,artist,FR,GB,DE,IT,ES,BE
59,"AM La Scampia, Lacrim",106359.0,0.0,0.0,0.0,0.0,0.0
60,AMK,927933.0,0.0,0.0,0.0,0.0,30891.0
61,"AMK, Nouvelle École",349990.0,0.0,0.0,0.0,0.0,13345.0
62,"ANNA, Jul",52826.0,0.0,0.0,0.0,0.0,0.0
63,"ASHE 22, Gazo",41414.0,0.0,0.0,0.0,0.0,0.0
64,"ASHE 22, Hamza",46295.0,0.0,0.0,0.0,0.0,0.0
65,"ASHE 22, Maes",79352.0,0.0,0.0,0.0,0.0,0.0
66,"ATB, Topic, A7S",499907.0,1189094.0,2123180.0,1127355.0,183004.0,179855.0
67,ATLXS,81421.0,0.0,121803.0,0.0,0.0,14109.0
68,AURORA,70154.0,353880.0,226567.0,76040.0,55753.0,63329.0
69,Aaron Carter,73798.0,0.0,0.0,72098.0,19081.0,14384.0
70,"Abou Debeing, Dadju",191182.0,0.0,0.0,0.0,0.0,0.0
71,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",873017.0,1086632.0,1684136.0,998095.0,236267.0,386378.0
72,Adele,1228215.0,12426452.0,2154127.0,711096.0,650274.0,1877999.0
73,Aden Foyer,804295.0,0.0,0.0,0.0,0.0,0.0
74,"Adèle Castillon, Gazo",163144.0,0.0,0.0,0.0,0.0,0.0
75,Adé,371778.0,0.0,0.0,0.0,0.0,0.0
76,Aime Simone,785755.0,0.0,0.0,0.0,0.0,0.0
77,Alan Walker,121379.0,73421.0,1107634.0,209251.0,289287.0,51033.0
78,"Alan Walker, Ava Max",229368.0,0.0,313841.0,213113.0,0.0,128713.0
79,"Alan Walker, Gavin James, Kygo",51760.0,0.0,0.0,0.0,0.0,0.0
80,"Alan Walker, Imanbek",39595.0,0.0,0.0,0.0,0.0,0.0
81,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",163332.0,169077.0,219224.0,67633.0,365364.0,35067.0
82,Alec Benjamin,903593.0,347523.0,887413.0,243329.0,43313.0,379660.0
83,Alessia Cara,34349.0,91584.0,620538.0,144483.0,33612.0,19925.0
84,"Alex Sensation, Farruko, Prince Royce, Mariah Angeliq, Kevin Lyttle",192829.0,0.0,0.0,0.0,0.0,0.0
85,Alex Warren,510438.0,2563482.0,1110280.0,96314.0,67345.0,515917.0
86,Alice Merton,154876.0,65650.0,1034329.0,383783.0,0.0,0.0
87,"Alicia Keys, A$AP Rocky",55484.0,0.0,0.0,0.0,0.0,0.0
88,"Aliocha Schneider, Charlotte Cardin",65407.0,0.0,0.0,0.0,0.0,0.0
89,"Alkpote, Kaaris",44154.0,0.0,0.0,0.0,0.0,0.0
90,"Alok, Ella Eyre, Kenny Dope, Never Dull",124919.0,216812.0,0.0,0.0,0.0,61779.0
91,"Alok, Sigala, Ellie Goulding",229892.0,0.0,0.0,0.0,0.0,9001.0
92,"Alok, Zeeba, Bruno Martini",238282.0,40285.0,374873.0,367110.0,82107.0,18210.0
93,Alonzo,3140666.0,0.0,0.0,0.0,0.0,4230.0
94,"Alonzo, Dadju",28877.0,0.0,0.0,0.0,0.0,0.0
95,"Alonzo, Dj Spike Miller",71329.0,0.0,0.0,0.0,0.0,0.0
96,"Alonzo, Jul, Naps",1981047.0,0.0,0.0,0.0,0.0,71818.0
97,"Alonzo, Lartiste",21378.0,0.0,0.0,0.0,0.0,0.0
98,"Alonzo, MHD",186552.0,0.0,0.0,0.0,0.0,0.0
99,"Alonzo, Ninho",395145.0,0.0,0.0,0.0,0.0,0.0
100,"Alonzo, Ninho, Naps",3327680.0,0.0,0.0,0.0,0.0,182171.0
101,"Alonzo, Soprano",19021.0,0.0,0.0,0.0,0.0,0.0
102,Alpha Wann,154472.0,0.0,0.0,0.0,0.0,0.0
103,"Alpha Wann, Freeze corleone",41242.0,0.0,0.0,0.0,0.0,0.0
104,"Alpha Wann, Nekfeu",101899.0,0.0,0.0,0.0,0.0,0.0
105,Alphaville,119276.0,174611.0,837476.0,0.0,0.0,94926.0
106,Alrima,89250.0,0.0,0.0,0.0,0.0,0.0
107,Alvaro Soler,246714.0,0.0,1394172.0,1471897.0,2159908.0,72713.0
108,Ambiance Skandal,69072.0,0.0,0.0,0.0,0.0,0.0
109,"Amel Bent, Hatik",895140.0,0.0,0.0,0.0,0.0,62154.0
110,"Amel Bent, Imen Es",368114.0,0.0,0.0,0.0,0.0,0.0
111,"Amine Farsi, Freeze corleone",42520.0,0.0,0.0,0.0,0.0,0.0
112,Amir,877458.0,0.0,0.0,0.0,0.0,0.0
113,Amy Winehouse,460370.0,923506.0,82531.0,46837.0,0.0,125648.0
114,"An'Om, Vayn",57232.0,0.0,0.0,0.0,0.0,0.0
115,Ana Mena,202058.0,0.0,0.0,319756.0,3608345.0,0.0
116,Andrelli,33902.0,0.0,0.0,0.0,0.0,0.0
117,Andy Williams,256012.0,2777144.0,1372818.0,187989.0,71213.0,132438.0
118,Angelcy,100174.0,0.0,0.0,0.0,0.0,0.0
119,Angus & Julia Stone,23247.0,0.0,0.0,0.0,0.0,4710.0
120,Angèle,6601568.0,0.0,0.0,0.0,0.0,1207458.0
121,"Angèle, Damso",1318747.0,0.0,0.0,0.0,0.0,155853.0
122,"Angèle, Orelsan",724281.0,0.0,0.0,0.0,0.0,49385.0
123,"Angèle, Roméo Elvis",1556744.0,0.0,0.0,0.0,0.0,296539.0
124,Anitta,444435.0,0.0,0.0,307915.0,895102.0,34689.0
125,Anne-Marie,93549.0,4782068.0,1820091.0,57659.0,237023.0,263411.0
126,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",321163.0,0.0,382561.0,836505.0,2827499.0,38814.0
127,"Anyme023, Shaydee's",204631.0,0.0,0.0,0.0,0.0,13364.0
128,"Aqua, Tiësto",60550.0,0.0,0.0,0.0,0.0,0.0
129,Arcadian,69637.0,0.0,0.0,0.0,0.0,0.0
130,"Arcane, Marcus King",69725.0,0.0,0.0,0.0,0.0,0.0
131,"Arcane, Stromae, Pomme",1375238.0,270489.0,495057.0,123436.0,223663.0,200491.0
132,"Arcane, Woodkid",97246.0,0.0,0.0,0.0,0.0,12471.0
133,"Arcane, d4vd",89743.0,0.0,0.0,0.0,0.0,12221.0
134,Arctic Monkeys,280013.0,28989538.0,677188.0,820529.0,0.0,466411.0
135,"AriBeatz, Nimo, Lacrim",76833.0,0.0,75036.0,0.0,0.0,0.0
136,"AriBeatz, Ozuna, GIMS, Sfera Ebbasta",328051.0,0.0,0.0,1559914.0,0.0,0.0
137,Ariana Grande,3542737.0,24759145.0,8809598.0,2205424.0,2597156.0,1481827.0
138,"Ariana Grande, Doja Cat",42508.0,302515.0,85611.0,0.0,39855.0,11533.0
139,"Ariana Grande, Justin Bieber",62088.0,599878.0,183682.0,0.0,80736.0,99503.0
140,"Ariana Grande, Miley Cyrus, Lana Del Rey",60887.0,291373.0,136662.0,53026.0,42560.0,22245.0
141,"Ariana Grande, Nicki Minaj",36578.0,548860.0,195029.0,54221.0,185191.0,21346.0
142,"Ariana Grande, Social House",55558.0,399858.0,145902.0,0.0,0.0,29885.0
143,"Ariana Grande, The Weeknd",34996.0,140406.0,59787.0,0.0,0.0,8091.0
144,Arizona Zervas,853528.0,1972174.0,1062189.0,646695.0,371227.0,319523.0
145,"Arma Jackson, Josman",421280.0,0.0,0.0,0.0,0.0,10294.0
146,Armin van Buuren,333084.0,0.0,1304923.0,0.0,0.0,138092.0
