,artistName,artistId,genres,follower,popularity,famille_musicale
2534,Samu Haber,211cqZyaBD7Wk7fAcLjsDB,"['finnish pop', 'iskelmä', 'finnish rock']",59872.0,45.0,Pop
2535,MARINA,6CwfuxIqcltXDGjfZsMd9A,[],5935951.0,75.0,No Genre
2536,Tupla W,7F78b8yOU6hCoJTYARgIEq,"['finnish hip hop', 'finnish pop']",1952.0,25.0,Hip-Hop
2537,Scorpions,27T030eWyCQRmDyuvr1kxY,"['hard rock', 'glam metal', 'rock']",8012138.0,75.0,Rock
2538,Neljä Ruusua,77ZNPUSoDjoqlD44N0yETT,"['finnish rock', 'finnish pop', 'iskelmä']",41251.0,42.0,Rock
2539,BU$HI,2GIoAorOnT0Yp1jKyTzW7K,['new wave'],158614.0,55.0,Autre
2540,Osirus Jack,3p6dh3Zn4fVXJatMy3Xqzq,['drill'],125452.0,50.0,Autre
2541,MadeInParis,2NRdZaTYZk1CexnDSlnxZU,['shatta'],66488.0,55.0,Autre
2542,Yseult,1QsdzIKkTT5gDFj8GB1cIX,[],302495.0,69.0,No Genre
2543,KIK,3U0pUvFUMv6gJiTFnXiueY,[],292463.0,49.0,No Genre
2544,MNEK,7uMh23xWiuR7zsNkuNcm2G,[],301576.0,68.0,No Genre
2545,Rhenzy Feliz,2as15AH2BTrPk8v4gyElmr,[],2517.0,57.0,No Genre
2546,Greg,3uBNVjDel3HFDLBmNt4ork,['laïko'],28026.0,36.0,Autre
2547,Lau Jr,0VqAapxk0FZ4ijMAZxf3hA,[],42533.0,30.0,No Genre
2548,DJ PaCo,6YxjAAOm4MVd55JQM8ijbG,[],5140.0,46.0,No Genre
2549,Kareem Kalokoh,6fIBCdiEDMUziaNwDi2Awb,[],18153.0,47.0,No Genre
2550,Teo Tzimas,7CkEq9a4CwfkweA1tRgxgh,['laïko'],3251.0,48.0,Autre
2551,Novel 729,4664bpPyFIkTMQGUVnqeAo,[],121797.0,51.0,No Genre
2552,ODYDOZE,3joZFtD641x3Iv1fJ74ybQ,[],994.0,41.0,No Genre
2553,Grend Kid,1svhqU5A39QYEmwbswohYD,[],10331.0,27.0,No Genre
2554,Natassa Bofiliou,3ujPrFnLXVgRRelOhW1E2t,"['entehno', 'laïko']",178322.0,47.0,Autre
2555,Feisty,7wasuXDWKXAOq7jQvxEK3E,[],37624.0,38.0,No Genre
2556,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,"['Pop', 'R&B', 'Latin']",13515773.0,77.0,Pop
2557,Kolg8eight,4aXeIRAbV0aEn0NZVImnqO,['drill'],38382.0,39.0,Autre
2558,Tananai,35V1WomiedCJeGfupcPm7s,[],592471.0,66.0,No Genre
2559,Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm,[],,,No Genre
2560,La rappresentante di lista,0YmQyGKpZgGSDxsC8iEGQU,[],,,No Genre
2561,Matteo Romano,5Imsy0ZXNi7uWLJpP5dZ8b,[],,,No Genre
2562,Emma,0gzwXezN4IUHAwLufA6YcX,[],,,No Genre
2563,Fabrizio Moro,3ebOqZZsLCDAkLS6QdI8cc,[],,,No Genre
2564,Michele Bravi,1CF7hrTuWgErEa6HBFJ8d3,[],,,No Genre
2565,Nardi,5Weajr5biqrfs2QaSMUhCG,[],,,No Genre
2566,Finesse,3GWuJyC9r6Ug0F6jeLzTpY,[],,,No Genre
2567,Ditonellapiaga,7HtzacrJpksCiS6qHypb8l,[],,,No Genre
2568,Donatella Rettore,7eIqewR3PiwQDItf5G2SyV,[],,,No Genre
2569,Gianni Morandi,15FrhfFYJIx7Ijltkpjbsr,[],,,No Genre
2570,Vytautas Kernagis,6WbwueBf5eqUudCcI8hVm2,[],,,No Genre
2571,Katarsis,34H2dyYLUMMtI1gynkGGY1,[],,,No Genre
2572,FACE,2z20q6EEfm6w6PiIKsgtb3,[],,,No Genre
2573,163ONMYNECK,0ne2rg2JwZmIy7X1aVNq7y,[],,,No Genre
2574,Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,[],,,No Genre
2575,shadowraze,0TO6y1x0LQodwBnxGtQu9o,[],,,No Genre
2576,Bankzitters,1g9nyCbUH0kbNgXAsw7tUB,[],,,No Genre
2577,GLOWINTHEDARK,2gLZZdgHD8ZbSAB2qQkr3P,[],,,No Genre
2578,sor,267wBt3XfmW3kdOC0JCtcO,[],18942.0,41.0,No Genre
2579,Jan Biggel,0fJJXAAxGeDwdS7HCUVkbs,[],24077.0,45.0,No Genre
2580,David Mokel,7lGq0g80TaLqM8uT9HLAni,"['russelåter', 'norwegian hip hop', 'norwegian pop']",8984.0,36.0,Hip-Hop
2581,Subwoolfer,633Va8wlM3hrqQ4xjqRfOf,[],57119.0,40.0,No Genre
2582,Jessie Murph,2yLzlEFtIS0Q9UkyBZdQA7,[],1221937.0,74.0,No Genre
2583,DNCE,6T5tfhQCknKG4UnH90qGnz,"['Pop Rock', 'Dance-Rock']",4571291.0,68.0,Pop
2584,Dutty Dior,5ktSHm2pKmqua1MTV1dkrg,"['norwegian hip hop', 'norwegian pop']",13828.0,44.0,Hip-Hop
2585,DaChoyce,6nStjcAtMWhraEtrTrePkl,[],4585.0,41.0,No Genre
2586,charlie moncler,37Pprth5H294i7rSnIkVVV,[],13033.0,57.0,No Genre
2587,bryska,5I8Y0U8doFLVCsSY88v4Vh,[],268884.0,46.0,No Genre
2588,Alan,36oXEMVgBzDe9HbnaSr6jZ,[],53520.0,39.0,No Genre
2589,João Maia Ferreira,2XWfm5Ts8pvNzZMENVZ65I,['portuguese hip hop'],13661.0,37.0,Hip-Hop
2590,Soraia Ramos,6Hdj9MS399KY29SP12gI0L,"['kizomba', 'zouk', 'portuguese hip hop']",322638.0,50.0,Hip-Hop
2591,BIN,1WXbiUMl1AT9Inb619xPUg,"['brazilian trap', 'brazilian hip hop', 'trap', 'trap funk']",2146776.0,65.0,Hip-Hop
2592,Salve Malak,7zxFc10N9BP2lg73b8cwZ0,['brazilian hip hop'],147656.0,68.0,Hip-Hop
2593,Virgul,0qe3I1MOY8oFj3DuoWNwbq,"['kizomba', 'portuguese hip hop']",59180.0,43.0,Hip-Hop
2594,M.G.L.,040gmk9Wd9sKXx199imiSM,"['manele', 'trap']",223462.0,54.0,Hip-Hop
2595,Mario ,2vMjgLGSb1lKiHySf3l9lF,['manele'],132992.0,45.0,Autre
2596,ZIOAN,0VYkOLinOR4qlo9ARphFKu,['manele'],710.0,26.0,Autre
2597,Shift,3maIdSXaKPd66XSp8iuMPy,['manele'],43665.0,43.0,Autre
2598,Alan Murin,6pNpb0Hcy98NRr1e8Vhxss,[],52012.0,51.0,No Genre
2599,Kraftklub,0MZ55DwuMQ1B2TXq9lcrE4,['german pop'],853263.0,60.0,Pop
2600,Wanda,6Kg9EvjSnEm5swmrvWCJyB,['german pop'],264346.0,52.0,Pop
2601,The Cratez,3pVfscwg2QxhdHtk966inb,['german hip hop'],33989.0,54.0,Hip-Hop
2602,Nucci,3YNm5MBjwq1QDeKQJq7wze,[],615342.0,61.0,No Genre
2603,LIZOT,12A83CWwFiyXy90ScLWPIe,"['slap house', 'hypertechno']",105660.0,65.0,Electro
2604,Bilderbuch,2ErWLckuGFl84nGmg5fwyG,['german pop'],252922.0,49.0,Pop
2605,Disiz,7rz6ZZErn5YFDteXKhyf3g,[],311598.0,58.0,No Genre
2606,Freeze corleone,76Pl0epAMXVXJspaSuz8im,['drill'],1221247.0,65.0,Autre
2607,Selah Sue,5Oc4knEQaid8K7AFqO5lHu,[],449511.0,50.0,No Genre
2608,SkandaU,21Q5VJotowNOhkOD2x2Cti,[],82687.0,37.0,No Genre
2609,Billy Hlapeto,0dz4rGLXin0gvKYqFh7iyI,[],36790.0,38.0,No Genre
2610,Ilian,7c1rGKb2kBgVcv2hPcg06N,['folk pop'],53670.0,30.0,Pop
2611,Lorena,1GNGuprNrIvSiOAcUIQy2h,['folk pop'],62566.0,39.0,Pop
2612,100 Kila,1eSLQvCYcfd5f1jgxBGbKJ,[],111809.0,42.0,No Genre
2613,Forest Blunt,1VYGcdpoaFPzLGZIdST4u0,[],8053.0,35.0,No Genre
2614,Fill,2rua0RljVoLsg9oaKiDPrp,[],762.0,25.0,No Genre
2615,AYLIVA,2rEVnwCPBeGkWMv425KoG1,"['german pop', 'german hip hop']",2038180.0,74.0,Pop
2616,Frauenarzt,38KSpOSYnwQX9zcOcVKdym,['german hip hop'],97943.0,54.0,Hip-Hop
2617,Chapo102,36caCzfSrrL7a8Mvd1SuRr,['german hip hop'],103569.0,62.0,Hip-Hop
2618,257ers,6ihLfpY3cmdGyWEnItn30w,['german hip hop'],401017.0,56.0,Hip-Hop
2619,Milano,4Jd9XCHzRXTB7ZPPVzJoUm,['german hip hop'],487462.0,64.0,Hip-Hop
2620,PIND,2feslzBLWgoLAT5PfH2V9q,['dansktop'],10909.0,38.0,Autre
2621,D1MA,5RaTuqY7SJHvh6MNzMagut,['dansktop'],52265.0,57.0,Autre
2622,ZieZie,26XzvosH2cl8Re6KSo9m8Z,"['afroswing', 'grime']",114837.0,49.0,Autre
2623,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,[],8169205.0,77.0,No Genre
2624,Saveus,2rR0cafJvL0JVTC8E2qIqt,['dansktop'],40518.0,47.0,Autre
2625,Liilz,0PfJ0SW9UpzczeHL5hgdwL,"['uk drill', 'drill']",40428.0,42.0,Autre
2626,Omar,1GLzVjVa7bLnAcD1At98j3,['dansktop'],23763.0,55.0,Autre
2627,Clicherik & Mäx,2K5ujJoG9L4INBflflfxtk,[],7751.0,33.0,No Genre
2628,Sub Focus,0QaSiI5TLA4N7mcsdxShDO,"['drum and bass', 'liquid funk']",521595.0,69.0,Autre
2629,Vennaskond,4SENxns1ygWdzNSNbBkaXZ,[],10925.0,35.0,No Genre
2630,K y B,1enXMVomlMi88CZFYL1m2f,[],136062.0,65.0,No Genre
2631,De La Ghetto,3EiLUeyEcA6fbRPSHkG5kb,"['reggaeton', 'trap latino', 'urbano latino']",7595798.0,79.0,Reggae/World
